,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,ph,sulphates,alcohol,quality,wine_type,wine_type_catagory_code
283,6.7,0.34,0.3,15.6,0.054,51.0,196.0,0.9982,3.19,0.49,9.3,5,white,1
284,7.1,0.35,0.24,15.4,0.055,46.0,198.0,0.9988,3.12,0.49,8.8,5,white,1
286,6.5,0.28,0.33,15.7,0.053,51.0,190.0,0.9978,3.22,0.51,9.7,6,white,1
292,7.4,0.28,0.42,19.8,0.066,53.0,195.0,1.0,2.96,0.44,9.1,5,white,1
295,6.3,0.33,0.27,1.2,0.046,34.0,175.0,0.9934,3.37,0.54,9.4,6,white,1
301,8.3,0.2,0.35,0.9,0.05,12.0,74.0,0.992,3.13,0.38,10.5,6,white,1
315,6.8,0.28,0.6,1.1,0.132,42.0,127.0,0.9934,3.09,0.44,9.1,6,white,1
320,6.0,0.1,0.24,1.1,0.041,15.0,65.0,0.9927,3.61,0.61,10.3,7,white,1
326,7.9,0.26,0.41,15.15,0.04,38.0,216.0,0.9976,2.96,0.6,10.0,6,white,1
328,6.5,0.28,0.35,15.4,0.042,55.0,195.0,0.9978,3.23,0.5,9.6,6,white,1
347,6.7,0.19,0.41,15.6,0.056,75.0,155.0,0.9995,3.2,0.44,8.8,6,white,1
357,6.1,0.36,0.33,1.1,0.05,24.0,169.0,0.9927,3.15,0.78,9.5,6,white,1
361,7.1,0.365,0.14,1.2,0.055,24.0,84.0,0.9941,3.15,0.43,8.9,5,white,1
372,6.6,0.905,0.19,0.8,0.048,17.0,204.0,0.9934,3.34,0.56,10.0,5,white,1
391,6.5,0.36,0.32,1.1,0.031,13.0,66.0,0.9916,3.1,0.46,10.6,5,white,1
398,5.9,0.26,0.27,18.2,0.048,52.0,168.0,0.9993,3.35,0.44,9.4,5,white,1
403,7.1,0.27,0.31,18.2,0.046,55.0,252.0,1.0,3.07,0.56,8.7,5,white,1
407,6.9,0.49,0.24,1.2,0.049,13.0,125.0,0.9932,3.17,0.51,9.4,5,white,1
408,6.3,0.14,0.39,1.2,0.044,26.0,116.0,0.992,3.26,0.53,10.3,6,white,1
428,7.8,0.21,0.27,1.2,0.051,20.0,89.0,0.9936,3.06,0.46,9.1,5,white,1
431,6.4,0.34,0.1,1.1,0.048,19.0,84.0,0.9927,3.21,0.38,9.8,5,white,1
439,6.2,0.35,0.04,1.2,0.06,23.0,108.0,0.9934,3.26,0.54,9.2,5,white,1
444,6.9,0.24,0.36,20.8,0.031,40.0,139.0,0.9975,3.2,0.33,11.0,6,white,1
451,6.1,0.2,0.25,1.2,0.038,34.0,128.0,0.9921,3.24,0.44,10.1,5,white,1
458,6.0,0.37,0.32,1.0,0.053,31.0,218.5,0.9924,3.29,0.72,9.8,6,white,1
461,7.0,0.25,0.29,15.2,0.047,40.0,171.0,0.9982,3.22,0.45,9.3,5,white,1
469,7.2,0.29,0.53,18.15,0.047,59.0,182.0,0.9992,3.09,0.52,9.6,5,white,1
476,7.4,0.28,0.36,1.1,0.028,42.0,105.0,0.9893,2.99,0.39,12.4,7,white,1
490,7.0,0.28,0.36,1.0,0.035,8.0,70.0,0.9899,3.09,0.46,12.1,6,white,1
498,5.7,0.335,0.34,1.0,0.04,13.0,174.0,0.992,3.27,0.66,10.0,5,white,1
500,7.2,0.28,0.54,16.7,0.045,54.0,200.0,0.999,3.08,0.49,9.5,6,white,1
524,5.6,0.35,0.37,1.0,0.038,6.0,72.0,0.9902,3.37,0.34,11.4,5,white,1
542,5.5,0.35,0.35,1.1,0.045,14.0,167.0,0.992,3.34,0.68,9.9,6,white,1
572,6.7,0.34,0.54,16.3,0.047,44.0,181.0,0.9987,3.04,0.56,8.8,5,white,1
591,7.3,0.2,0.37,1.2,0.037,48.0,119.0,0.992,3.32,0.49,10.9,6,white,1
595,6.3,0.27,0.38,0.9,0.051,7.0,140.0,0.9926,3.45,0.5,10.5,7,white,1
608,6.1,0.28,0.25,17.75,0.044,48.0,161.0,0.9993,3.34,0.48,9.5,5,white,1
620,6.5,0.46,0.41,16.8,0.084,59.0,222.0,0.9993,3.18,0.58,9.0,5,white,1
623,7.2,0.24,0.34,1.1,0.045,3.0,64.0,0.9913,3.23,0.51,11.4,5,white,1
629,5.8,0.31,0.33,1.2,0.036,23.0,99.0,0.9916,3.18,0.6,10.5,6,white,1
640,5.6,0.235,0.29,1.2,0.047,33.0,127.0,0.991,3.34,0.5,11.0,7,white,1
646,6.5,0.33,0.72,1.1,0.061,7.0,151.0,0.993,3.09,0.57,9.5,4,white,1
694,7.6,0.29,0.58,17.5,0.041,51.0,225.0,0.9997,3.16,0.66,9.5,6,white,1
696,6.7,0.19,0.34,1.0,0.022,22.0,94.0,0.9912,3.23,0.57,11.1,6,white,1
702,6.6,0.38,0.18,1.2,0.042,20.0,84.0,0.9927,3.22,0.45,10.1,4,white,1
703,6.4,0.33,0.28,1.1,0.038,30.0,110.0,0.9917,3.12,0.42,10.5,6,white,1
709,6.2,0.47,0.21,1.0,0.044,13.0,98.0,0.99345,3.14,0.46,9.2,5,white,1
717,7.0,0.27,0.41,18.75,0.042,34.0,157.0,1.0002,2.96,0.5,9.1,5,white,1
725,6.4,0.39,0.21,1.2,0.041,35.0,136.0,0.99225,3.15,0.46,10.2,5,white,1
729,6.0,0.33,0.27,0.8,0.185,12.0,188.0,0.9924,3.12,0.62,9.4,5,white,1
757,6.8,0.22,0.37,15.2,0.051,68.0,178.0,0.99935,3.4,0.85,9.3,6,white,1
758,7.1,0.14,0.4,1.2,0.051,55.0,136.0,0.9932,3.3,0.96,9.8,7,white,1
759,7.1,0.13,0.4,1.2,0.047,54.0,134.0,0.9932,3.3,0.97,9.8,7,white,1
762,6.8,0.24,0.49,19.3,0.057,55.0,247.0,1.00055,3.0,0.56,8.7,5,white,1
763,5.0,0.44,0.04,18.6,0.039,38.0,128.0,0.9985,3.37,0.57,10.2,6,white,1
771,6.6,0.16,0.57,1.1,0.13,58.0,140.0,0.9927,3.12,0.39,9.3,7,white,1
772,6.6,0.21,0.6,1.1,0.135,61.0,144.0,0.9927,3.12,0.39,9.3,7,white,1
773,6.1,0.27,0.3,16.7,0.039,49.0,172.0,0.99985,3.4,0.45,9.4,5,white,1
812,6.4,0.35,0.28,1.1,0.055,9.0,160.0,0.99405,3.42,0.5,9.1,7,white,1
813,6.5,0.26,0.32,16.5,0.045,44.0,166.0,1.0,3.38,0.46,9.5,6,white,1
814,7.9,0.35,0.24,15.6,0.072,44.0,229.0,0.99785,3.03,0.59,10.5,6,white,1
829,7.1,0.16,0.36,1.2,0.043,21.0,90.0,0.9925,3.16,0.42,11.0,7,white,1
846,6.6,0.22,0.37,15.4,0.035,62.0,153.0,0.99845,3.02,0.4,9.3,5,white,1
847,9.2,0.34,0.27,1.2,0.026,17.0,73.0,0.9921,3.08,0.39,10.8,5,white,1
869,7.3,0.24,0.29,1.2,0.037,37.0,97.0,0.9926,3.19,0.7,10.1,6,white,1
892,5.9,0.26,0.3,1.0,0.036,38.0,114.0,0.9928,3.58,0.48,9.4,5,white,1
895,5.6,0.19,0.39,1.1,0.043,17.0,67.0,0.9918,3.23,0.53,10.3,6,white,1
913,5.8,0.29,0.05,0.8,0.038,11.0,30.0,0.9924,3.36,0.35,9.2,5,white,1
914,8.0,0.32,0.26,1.2,0.05,11.5,88.0,0.9946,3.24,0.37,9.5,4,white,1
915,5.6,0.29,0.05,0.8,0.038,11.0,30.0,0.9924,3.36,0.35,9.2,5,white,1
919,8.6,0.18,0.4,1.1,0.04,20.0,107.0,0.9923,2.94,0.32,10.2,7,white,1
939,7.7,0.24,0.29,15.3,0.044,39.0,194.0,0.9982,3.06,0.47,9.6,7,white,1
946,8.2,0.345,1.0,18.2,0.047,55.0,205.0,0.99965,2.96,0.43,9.6,5,white,1
957,6.6,0.23,0.32,0.9,0.041,25.0,79.0,0.9926,3.39,0.54,10.2,7,white,1
958,6.6,0.2,0.32,1.1,0.039,25.0,78.0,0.9926,3.39,0.54,10.2,7,white,1
992,6.5,0.25,0.27,15.2,0.049,75.0,217.0,0.9972,3.19,0.39,9.9,5,white,1
998,8.0,0.24,0.3,17.45,0.056,43.0,184.0,0.9997,3.05,0.5,9.2,6,white,1
1008,6.6,0.22,0.37,1.2,0.059,45.0,199.0,0.993,3.37,0.55,10.3,7,white,1
1041,7.7,0.275,0.3,1.0,0.039,19.0,75.0,0.992,3.01,0.56,10.7,5,white,1
1043,7.5,0.33,0.48,19.45,0.048,55.0,243.0,1.001,2.95,0.4,8.8,5,white,1
1048,8.3,0.4,0.38,1.1,0.038,15.0,75.0,0.9934,3.03,0.43,9.2,5,white,1
1051,6.9,0.21,0.81,1.1,0.137,52.0,123.0,0.9932,3.03,0.39,9.2,6,white,1
1059,5.3,0.3,0.2,1.1,0.077,48.0,166.0,0.9944,3.3,0.54,8.7,4,white,1
1078,6.5,0.26,0.34,16.3,0.051,56.0,197.0,1.0004,3.49,0.42,9.8,5,white,1
1090,8.3,0.21,0.58,17.1,0.049,62.0,213.0,1.0006,3.01,0.51,9.3,6,white,1
1092,7.1,0.21,0.4,1.2,0.069,24.0,156.0,0.9928,3.42,0.43,10.6,6,white,1
1130,6.9,0.2,0.28,1.2,0.048,36.0,159.0,0.9936,3.19,0.43,9.1,6,white,1
1140,8.5,0.16,0.33,1.0,0.076,17.0,57.0,0.9921,3.14,0.46,10.6,6,white,1
1146,9.1,0.27,0.32,1.1,0.031,15.0,151.0,0.9936,3.03,0.41,10.6,5,white,1
1164,8.2,0.23,0.49,0.9,0.057,15.0,73.0,0.9928,3.07,0.38,10.4,6,white,1
1166,6.1,0.45,0.27,0.8,0.039,13.0,82.0,0.9927,3.23,0.32,9.5,5,white,1
1168,7.2,0.2,0.38,1.0,0.037,21.0,74.0,0.9918,3.21,0.37,11.0,5,white,1
1186,7.5,0.32,0.37,1.2,0.048,22.0,184.0,0.9938,3.09,0.43,9.3,5,white,1
1206,7.0,0.26,0.46,15.55,0.037,61.0,171.0,0.9986,2.94,0.35,8.8,6,white,1
1210,9.2,0.28,0.41,1.0,0.042,14.0,59.0,0.9922,2.96,0.25,10.5,6,white,1
1214,9.7,0.24,0.45,1.2,0.033,11.0,59.0,0.9926,2.74,0.47,10.8,6,white,1
1220,6.4,0.23,0.33,1.15,0.044,15.5,217.5,0.992,3.33,0.44,11.0,6,white,1
1222,7.6,0.28,0.39,1.2,0.038,21.0,115.0,0.994,3.16,0.67,10.0,6,white,1
1228,9.4,0.26,0.53,1.2,0.047,25.0,109.0,0.9921,3.23,0.28,12.5,6,white,1
1229,8.3,0.33,0.42,1.15,0.033,18.0,96.0,0.9911,3.2,0.32,12.4,3,white,1
1245,8.0,0.66,0.72,17.55,0.042,62.0,233.0,0.9999,2.92,0.68,9.4,4,white,1
1247,7.2,0.21,0.34,1.1,0.046,25.0,80.0,0.992,3.25,0.4,11.3,6,white,1
1248,7.2,0.18,0.31,1.1,0.045,20.0,73.0,0.9925,3.32,0.4,10.8,7,white,1
1251,5.7,0.245,0.33,1.1,0.049,28.0,150.0,0.9927,3.13,0.42,9.3,5,white,1
1252,5.6,0.245,0.32,1.1,0.047,24.0,152.0,0.9927,3.12,0.42,9.3,6,white,1
1254,7.0,0.16,0.73,1.0,0.138,58.0,150.0,0.9936,3.08,0.3,9.2,5,white,1
1264,7.2,0.14,0.35,1.2,0.036,15.0,73.0,0.9938,3.46,0.39,9.9,5,white,1
1292,6.2,0.17,0.3,1.1,0.037,14.0,79.0,0.993,3.5,0.54,10.3,6,white,1
1304,8.0,0.59,0.71,17.35,0.038,61.0,228.0,1.0,2.95,0.75,9.3,5,white,1
1318,6.4,0.15,0.31,1.1,0.044,25.0,96.0,0.9932,3.54,0.51,10.3,6,white,1
1322,5.1,0.31,0.3,0.9,0.037,28.0,152.0,0.992,3.54,0.56,10.1,6,white,1
1328,5.2,0.37,0.33,1.2,0.028,13.0,81.0,0.9902,3.37,0.38,11.7,6,white,1
1332,7.9,0.16,0.64,17.0,0.05,69.0,210.0,1.0004,3.15,0.51,9.3,7,white,1
1334,9.0,0.24,0.5,1.2,0.048,26.0,107.0,0.9918,3.21,0.34,12.4,6,white,1
1340,7.2,0.16,0.32,0.8,0.04,50.0,121.0,0.9922,3.27,0.33,10.0,6,white,1
1345,7.3,0.39,0.37,1.1,0.043,36.0,113.0,0.991,3.39,0.48,12.7,8,white,1
1349,9.2,0.35,0.39,0.9,0.042,15.0,61.0,0.9924,2.96,0.28,10.4,4,white,1
1365,6.7,0.13,0.28,1.2,0.046,35.0,140.0,0.9927,3.33,0.33,10.1,7,white,1
1366,7.0,0.14,0.41,0.9,0.037,22.0,95.0,0.9914,3.25,0.43,10.9,6,white,1
1379,6.9,0.46,0.2,0.9,0.054,5.0,126.0,0.992,3.1,0.42,10.4,6,white,1
1389,8.1,0.19,0.4,0.9,0.037,73.0,180.0,0.9926,3.06,0.34,10.0,6,white,1
1409,7.9,0.2,0.34,1.2,0.04,29.0,118.0,0.9932,3.14,0.41,10.6,6,white,1
1415,5.9,0.415,0.02,0.8,0.038,22.0,63.0,0.9932,3.36,0.36,9.3,5,white,1
1417,8.6,0.55,0.35,15.55,0.057,35.5,366.5,1.0001,3.04,0.63,11.0,3,white,1
1418,6.9,0.35,0.74,1.0,0.044,18.0,132.0,0.992,3.13,0.55,10.2,5,white,1
1422,5.3,0.165,0.24,1.1,0.051,25.0,105.0,0.9925,3.32,0.47,9.1,5,white,1
1425,6.8,0.22,0.49,0.9,0.052,26.0,128.0,0.991,3.25,0.35,11.4,6,white,1
1426,7.2,0.22,0.49,1.0,0.045,34.0,140.0,0.99,3.05,0.34,12.7,6,white,1
1430,7.0,0.39,0.24,1.0,0.048,8.0,119.0,0.9923,3.0,0.31,10.1,4,white,1
1433,7.1,0.29,0.49,1.2,0.031,32.0,99.0,0.9893,3.07,0.33,12.2,6,white,1
1436,8.5,0.56,0.74,17.85,0.051,51.0,243.0,1.0005,2.99,0.7,9.2,5,white,1
1442,8.0,0.25,0.49,1.2,0.061,27.0,117.0,0.9938,3.08,0.34,9.4,5,white,1
1454,8.3,0.21,0.49,19.8,0.054,50.0,231.0,1.0012,2.99,0.54,9.2,5,white,1
1463,8.3,0.19,0.49,1.2,0.051,11.0,137.0,0.9918,3.06,0.46,11.0,6,white,1
1465,7.0,0.2,0.74,0.8,0.044,19.0,163.0,0.9931,3.46,0.53,10.2,5,white,1
1477,7.6,0.51,0.24,1.2,0.04,10.0,104.0,0.992,3.05,0.29,10.8,6,white,1
1486,6.2,0.15,0.49,0.9,0.033,17.0,51.0,0.9932,3.3,0.7,9.4,6,white,1
1487,6.7,0.25,0.74,19.4,0.054,44.0,169.0,1.0004,3.51,0.45,9.8,6,white,1
1489,7.9,0.16,0.74,17.85,0.037,52.0,187.0,0.9998,2.99,0.41,9.3,5,white,1
1490,5.6,0.185,0.49,1.1,0.03,28.0,117.0,0.9918,3.55,0.45,10.3,6,white,1
1496,6.7,0.62,0.24,1.1,0.039,6.0,62.0,0.9934,3.41,0.32,10.4,5,white,1
1497,6.8,0.27,0.49,1.2,0.044,35.0,126.0,0.99,3.13,0.48,12.1,7,white,1
1526,14.2,0.27,0.49,1.1,0.037,33.0,156.0,0.992,3.15,0.54,11.1,6,white,1
1528,7.4,0.27,0.49,1.1,0.037,33.0,156.0,0.992,3.15,0.54,11.1,6,white,1
1537,8.1,0.28,0.49,1.0,0.04,32.0,148.0,0.9936,3.13,0.41,10.0,6,white,1
1538,6.0,0.17,0.49,1.0,0.034,26.0,106.0,0.992,3.21,0.42,9.8,6,white,1
1541,7.1,0.53,0.24,0.8,0.029,29.0,86.0,0.993,3.16,0.32,9.1,4,white,1
1543,7.3,0.14,0.49,1.1,0.038,28.0,99.0,0.9928,3.2,0.72,10.6,6,white,1
1551,6.6,0.19,0.99,1.2,0.122,45.0,129.0,0.9936,3.09,0.31,8.7,6,white,1
1559,8.8,0.35,0.49,1.0,0.036,14.0,56.0,0.992,2.96,0.33,10.5,4,white,1
1566,7.6,0.18,0.49,18.05,0.046,36.0,158.0,0.9996,3.06,0.41,9.2,5,white,1
1580,9.8,0.31,0.49,15.4,0.046,13.0,119.0,1.0004,3.18,0.45,9.5,5,white,1
1590,7.9,0.14,0.74,1.2,0.028,30.0,165.0,0.991,3.08,0.82,12.3,6,white,1
1592,6.8,0.21,0.74,1.2,0.047,25.0,111.0,0.9916,3.13,0.41,10.7,6,white,1
1608,6.9,0.27,0.49,23.5,0.057,59.0,235.0,1.0024,2.98,0.47,8.6,5,white,1
1624,9.0,0.17,0.49,1.0,0.039,46.0,131.0,0.993,3.09,0.51,10.5,7,white,1
1634,8.3,0.25,0.49,16.8,0.048,50.0,228.0,1.0001,3.03,0.52,9.2,6,white,1
1637,8.1,0.12,0.49,1.2,0.042,43.0,160.0,0.9934,3.13,0.48,9.7,6,white,1
1647,7.8,0.21,0.49,1.2,0.036,20.0,99.0,0.99,3.05,0.28,12.1,7,white,1
1652,8.2,0.29,0.49,1.0,0.044,29.0,118.0,0.9928,3.24,0.36,10.9,4,white,1
1656,5.8,0.15,0.49,1.1,0.048,21.0,98.0,0.9929,3.19,0.48,9.2,5,white,1
1664,8.1,0.28,0.46,15.4,0.059,32.0,177.0,1.0004,3.27,0.58,9.0,4,white,1
1665,6.5,0.13,0.37,1.0,0.036,48.0,114.0,0.9911,3.41,0.51,11.5,8,white,1
1666,7.8,0.445,0.56,1.0,0.04,8.0,84.0,0.9938,3.25,0.43,10.8,5,white,1
1668,7.9,0.18,0.33,1.2,0.033,20.0,72.0,0.9922,3.12,0.38,10.5,7,white,1
1669,7.1,0.31,0.38,1.2,0.036,10.0,124.0,0.9924,3.14,0.44,9.9,6,white,1
1680,7.6,0.32,0.34,18.35,0.054,44.0,197.0,1.0008,3.22,0.55,9.0,5,white,1
1707,6.8,0.26,0.29,16.95,0.056,48.0,179.0,0.9998,3.45,0.4,9.6,5,white,1
1722,7.5,0.4,1.0,19.5,0.041,33.0,148.0,0.9977,3.24,0.38,12.0,6,white,1
1730,9.2,0.23,0.3,1.1,0.031,40.0,99.0,0.9929,2.94,0.3,10.4,6,white,1
1733,8.1,0.3,0.31,1.1,0.041,49.0,123.0,0.9914,2.99,0.45,11.1,6,white,1
1739,8.4,0.29,0.29,1.05,0.032,4.0,55.0,0.9908,2.91,0.32,11.4,4,white,1
1744,6.6,0.22,0.58,1.1,0.133,52.0,136.0,0.9932,3.1,0.3,9.1,5,white,1
1748,8.0,0.27,0.24,1.2,0.044,20.0,102.0,0.9929,3.28,0.42,10.9,5,white,1
1758,9.6,0.21,0.28,1.2,0.038,12.0,53.0,0.9926,2.8,0.46,10.6,5,white,1
1775,7.7,0.49,1.0,19.6,0.03,28.0,135.0,0.9973,3.24,0.4,12.0,6,white,1
1793,7.4,0.35,0.31,17.95,0.062,42.0,187.0,1.0002,3.27,0.64,9.1,5,white,1
1813,7.2,0.15,0.38,1.2,0.038,18.0,110.0,0.9917,3.19,0.43,11.1,6,white,1
1817,7.2,0.5,0.0,0.8,0.034,46.0,114.0,0.9932,3.19,0.34,9.2,4,white,1
1818,6.0,0.26,0.29,1.0,0.032,27.0,96.0,0.9896,3.38,0.44,12.3,6,white,1
1819,6.8,0.33,0.28,1.2,0.032,38.0,131.0,0.9889,3.19,0.41,13.0,6,white,1
1840,6.9,0.18,0.33,1.0,0.054,24.0,164.0,0.9926,3.42,0.51,10.5,5,white,1
1848,8.7,0.49,0.57,17.8,0.052,34.0,243.0,1.0007,2.98,0.82,9.0,5,white,1
1875,6.6,0.31,0.38,16.05,0.058,16.0,165.0,0.9997,3.38,0.6,9.2,5,white,1
1877,8.0,0.2,0.36,1.2,0.032,21.0,78.0,0.9921,3.08,0.37,10.4,6,white,1
1886,7.0,0.53,0.02,1.0,0.036,39.0,107.0,0.993,3.2,0.32,9.0,5,white,1
1888,7.2,0.24,0.4,17.85,0.049,50.0,185.0,1.0,3.34,0.42,9.6,5,white,1
1903,7.8,0.34,0.27,1.2,0.04,25.0,106.0,0.9932,3.01,0.55,10.4,5,white,1
1938,7.2,0.16,0.35,1.2,0.031,27.0,84.0,0.9928,3.33,0.34,9.9,5,white,1
1944,6.0,0.45,0.42,1.1,0.051,61.0,197.0,0.9932,3.02,0.4,9.0,5,white,1
1947,5.7,0.45,0.42,1.1,0.051,61.0,197.0,0.9932,3.02,0.4,9.0,5,white,1
1956,7.2,0.15,0.33,1.1,0.027,16.0,63.0,0.9937,3.37,0.4,9.9,5,white,1
1978,7.9,0.33,0.26,1.2,0.044,23.0,103.0,0.9932,3.19,0.54,10.5,6,white,1
1985,8.1,0.19,0.58,16.65,0.049,48.0,181.0,1.0006,3.2,0.62,9.1,6,white,1
1990,6.4,0.43,0.27,1.1,0.054,5.0,110.0,0.9939,3.24,0.52,9.1,4,white,1
1999,7.3,0.18,0.31,17.3,0.055,32.0,197.0,1.0002,3.13,0.46,9.0,6,white,1
2035,8.8,0.2,0.28,1.1,0.018,18.0,72.0,0.9926,2.97,0.35,10.4,5,white,1
2036,5.7,0.27,0.32,1.2,0.046,20.0,155.0,0.9934,3.8,0.41,10.2,6,white,1
2106,8.5,0.24,0.47,15.2,0.057,40.0,234.0,1.0005,3.02,0.66,9.0,5,white,1
2116,6.8,0.2,0.27,1.2,0.034,19.0,68.0,0.9902,3.14,0.37,11.7,4,white,1
2117,7.7,0.26,0.32,1.2,0.04,26.0,117.0,0.993,3.21,0.56,10.8,5,white,1
2147,6.4,0.29,0.2,15.6,0.04,20.0,142.0,0.9962,3.1,0.54,10.6,5,white,1
2164,8.4,0.22,0.28,18.8,0.028,55.0,130.0,0.998,2.96,0.35,11.6,5,white,1
2186,6.5,0.39,0.81,1.2,0.217,14.0,74.0,0.9936,3.08,0.53,9.5,5,white,1
2196,7.0,0.22,0.26,1.1,0.037,20.0,71.0,0.9902,3.1,0.38,11.7,6,white,1
2197,7.3,0.18,0.29,1.0,0.036,26.0,101.0,0.99,3.09,0.37,11.7,6,white,1
2206,8.9,0.24,0.33,15.75,0.035,16.0,132.0,0.996,3.0,0.37,12.1,6,white,1
2225,7.6,0.23,0.26,15.3,0.067,32.0,166.0,0.9986,3.03,0.44,9.2,4,white,1
2250,9.2,0.34,0.54,17.3,0.06,46.0,235.0,1.00182,3.08,0.61,8.8,6,white,1
2269,8.5,0.19,0.56,17.3,0.055,47.0,169.0,1.00047,3.07,0.67,9.3,6,white,1
2292,6.5,0.32,0.23,1.2,0.054,39.0,208.0,0.99272,3.18,0.46,9.9,6,white,1
2334,7.5,0.23,0.35,17.8,0.058,128.0,212.0,1.00241,3.44,0.43,8.9,5,white,1
2357,8.9,0.21,0.37,1.2,0.028,20.0,93.0,0.99244,3.2,0.37,11.5,5,white,1
2373,7.6,0.48,0.37,1.2,0.034,5.0,57.0,0.99256,3.05,0.54,10.4,3,white,1
2378,9.4,0.23,0.56,16.45,0.063,52.5,282.0,1.00098,3.1,0.51,9.3,5,white,1
2388,7.6,0.21,0.35,1.2,0.041,7.0,106.0,0.9914,3.06,0.45,11.3,4,white,1
